TIME,X,Y,Z,X2,Y2,Z2
"('2022-03-22 12:10:16',)","(-30,)","(112,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:16',)","(-32,)","(112,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:15',)","(-33,)","(111,)","(230,)","('-98',)","('-30',)","(230,)"
"('2022-03-22 12:10:15',)","(-30,)","(109,)","(228,)","('-98',)","('-31',)","(228,)"
"('2022-03-22 12:10:15',)","(-32,)","(111,)","(225,)","('-98',)","('-32',)","(225,)"
"('2022-03-22 12:10:15',)","(-31,)","(110,)","(228,)","('-98',)","('-32',)","(228,)"
"('2022-03-22 12:10:14',)","(-34,)","(114,)","(226,)","('-97',)","('-31',)","(226,)"
"('2022-03-22 12:10:14',)","(-33,)","(113,)","(226,)","('-97',)","('-31',)","(226,)"
"('2022-03-22 12:10:14',)","(-33,)","(112,)","(226,)","('-97',)","('-30',)","(226,)"
"('2022-03-22 12:10:14',)","(-32,)","(112,)","(228,)","('-96',)","('-31',)","(228,)"
"('2022-03-22 12:10:13',)","(-35,)","(108,)","(229,)","('-97',)","('-32',)","(229,)"
"('2022-03-22 12:10:13',)","(-35,)","(108,)","(228,)","('-97',)","('-32',)","(228,)"
"('2022-03-22 12:10:13',)","(-34,)","(112,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:13',)","(-33,)","(112,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:12',)","(-32,)","(114,)","(227,)","('-98',)","('-31',)","(227,)"
"('2022-03-22 12:10:12',)","(-33,)","(114,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:12',)","(-32,)","(112,)","(227,)","('-96',)","('-33',)","(227,)"
"('2022-03-22 12:10:12',)","(-33,)","(114,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:11',)","(-32,)","(107,)","(228,)","('-96',)","('-33',)","(228,)"
"('2022-03-22 12:10:11',)","(-34,)","(107,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:11',)","(-34,)","(111,)","(228,)","('-97',)","('-32',)","(228,)"
"('2022-03-22 12:10:11',)","(-33,)","(111,)","(227,)","('-97',)","('-31',)","(227,)"
"('2022-03-22 12:10:10',)","(-32,)","(111,)","(228,)","('-98',)","('-32',)","(228,)"
"('2022-03-22 12:10:10',)","(-35,)","(112,)","(227,)","('-96',)","('-32',)","(227,)"
"('2022-03-22 12:10:10',)","(-33,)","(110,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:10',)","(-34,)","(112,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:10',)","(-30,)","(113,)","(228,)","('-96',)","('-33',)","(228,)"
"('2022-03-22 12:10:10',)","(-33,)","(112,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:09',)","(-32,)","(110,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:09',)","(-34,)","(112,)","(226,)","('-97',)","('-31',)","(226,)"
"('2022-03-22 12:10:09',)","(-38,)","(112,)","(226,)","('-97',)","('-31',)","(226,)"
"('2022-03-22 12:10:09',)","(-36,)","(111,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:09',)","(-31,)","(112,)","(232,)","('-98',)","('-32',)","(232,)"
"('2022-03-22 12:10:09',)","(-33,)","(112,)","(231,)","('-97',)","('-32',)","(231,)"
"('2022-03-22 12:10:08',)","(-29,)","(113,)","(234,)","('-97',)","('-32',)","(234,)"
"('2022-03-22 12:10:08',)","(-34,)","(110,)","(230,)","('-97',)","('-31',)","(230,)"
"('2022-03-22 12:10:08',)","(-36,)","(111,)","(230,)","('-97',)","('-33',)","(230,)"
"('2022-03-22 12:10:08',)","(-35,)","(113,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:08',)","(-30,)","(111,)","(225,)","('-97',)","('-32',)","(225,)"
"('2022-03-22 12:10:08',)","(-34,)","(111,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:08',)","(-32,)","(112,)","(226,)","('-96',)","('-31',)","(226,)"
"('2022-03-22 12:10:08',)","(-32,)","(113,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:08',)","(-33,)","(114,)","(228,)","('-97',)","('-31',)","(228,)"
"('2022-03-22 12:10:08',)","(-33,)","(115,)","(225,)","('-98',)","('-32',)","(225,)"
"('2022-03-22 12:10:08',)","(-34,)","(113,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:08',)","(-33,)","(113,)","(225,)","('-97',)","('-32',)","(225,)"
"('2022-03-22 12:10:08',)","(-34,)","(113,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:08',)","(-34,)","(114,)","(227,)","('-97',)","('-31',)","(227,)"
"('2022-03-22 12:10:07',)","(-33,)","(113,)","(225,)","('-97',)","('-31',)","(225,)"
"('2022-03-22 12:10:07',)","(-33,)","(112,)","(228,)","('-98',)","('-31',)","(228,)"
"('2022-03-22 12:10:07',)","(-33,)","(112,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:10:07',)","(-35,)","(113,)","(227,)","('-98',)","('-31',)","(227,)"
"('2022-03-22 12:10:07',)","(-40,)","(116,)","(225,)","('-98',)","('-31',)","(225,)"
"('2022-03-22 12:10:07',)","(-34,)","(111,)","(228,)","('-96',)","('-33',)","(228,)"
"('2022-03-22 12:10:07',)","(-36,)","(110,)","(229,)","('-97',)","('-31',)","(229,)"
"('2022-03-22 12:10:07',)","(-25,)","(141,)","(235,)","('-96',)","('-33',)","(235,)"
"('2022-03-22 12:10:07',)","(-36,)","(114,)","(227,)","('-96',)","('-34',)","(227,)"
"('2022-03-22 12:10:07',)","(-23,)","(135,)","(236,)","('-97',)","('-32',)","(236,)"
"('2022-03-22 12:10:07',)","(-35,)","(112,)","(231,)","('-97',)","('-32',)","(231,)"
"('2022-03-22 12:10:07',)","(-31,)","(110,)","(231,)","('-96',)","('-32',)","(231,)"
"('2022-03-22 12:10:07',)","(-32,)","(111,)","(234,)","('-96',)","('-33',)","(234,)"
"('2022-03-22 12:10:07',)","(-32,)","(109,)","(236,)","('-97',)","('-31',)","(236,)"
"('2022-03-22 12:10:07',)","(-31,)","(109,)","(233,)","('-96',)","('-31',)","(233,)"
